2024-08-09 21:12:46.563 | DEBUG    | src.scraper:scrape_product:51 - Scraped product info: {'product_name': 'POLO 5X24.5G SUGAR FREE TUBE 5 PACK', 'pricecheck_sku': 'FOPOL011', 'barcode': '7613036667210', 'case_barcode': '07613036667227', 'inner_quantity': '1', 'case_quantity': '24', 'pallet_case_quantity': '144', 'cases_per_layer': '36', 'languages': 'EN', 'country_of_origin': 'United Kingdom', 'tariff_code': '17049081', 'expiry_date': 'Jun 30, 2025', 'vat': '20%', 'piece_price_(excl._vat)': 'Please login for prices'}
2024-08-09 21:12:46.569 | INFO     | src.scraper:scrape_product:26 - Scraping product page: https://pricecheck.uk.com/products/gillette-skin-175ml-s-cream-sensitive-togil750
2024-08-09 21:12:48.761 | DEBUG    | src.scraper:scrape_product:51 - Scraped product info: {'product_name': 'GILLETTE SKIN 175ML SHAVING CREAM TUBE ULTRA SENSITIVE', 'pricecheck_sku': 'TOGIL750', 'barcode': '7702018607228', 'case_barcode': '7702018607211', 'inner_quantity': '1', 'case_quantity': '6', 'pallet_case_quantity': '342', 'cases_per_layer': '57', 'languages': 'EN, IT, PT', 'country_of_origin': 'Poland', 'tariff_code': '33071000', 'vat': '20%', 'piece_price_(excl._vat)': 'Please login for prices'}
2024-08-09 21:12:48.761 | INFO     | src.scraper:scrape_product:26 - Scraping product page: https://pricecheck.uk.com/products/h-essences-275ml-cond-hydrate-coconut-toher285
2024-08-09 21:12:50.973 | DEBUG    | src.scraper:scrape_product:51 - Scraped product info: {'product_name': 'HERBAL ESSENCES 275ML CONDITIONER HYDRATE COCONUT MILK', 'pricecheck_sku': 'TOHER285', 'barcode': '8006540414002', 'case_barcode': '8006540414019', 'inner_quantity': '1', 'case_quantity': '6', 'pallet_case_quantity': '192', 'cases_per_layer': '48', 'languages': 'EN, AZ, TR', 'country_of_origin': 'France', 'tariff_code': '33059000', 'vat': '20%', 'piece_price_(excl._vat)': 'Please login for prices'}
2024-08-09 21:12:50.988 | INFO     | src.scraper:scrape_product:26 - Scraping product page: https://pricecheck.uk.com/products/nescafe-gold-cappuccino-8pk-pmp-fones115
2024-08-09 21:12:53.242 | DEBUG    | src.scraper:scrape_product:51 - Scraped product info: {'product_name': 'NESCAFE GOLD INSTANT COFFEE SACHETS CAPPUCCINO 8 PACK PMP £2.79', 'pricecheck_sku': 'FONES115', 'barcode': '8445290721600', 'case_barcode': '8445290721594', 'inner_quantity': '1', 'case_quantity': '6', 'pallet_case_quantity': '196', 'cases_per_layer': '28', 'languages': 'EN', 'country_of_origin': 'United Kingdom', 'tariff_code': '21011100', 'expiry_date': 'Apr 30, 2025', 'vat': '0%', 'piece_price_(excl._vat)': 'Please login for prices'}
2024-08-09 21:12:53.242 | INFO     | src.scraper:scrape_product:26 - Scraping product page: https://pricecheck.uk.com/products/colgate-125ml-t-p-triple-mint-tocol786
2024-08-09 21:12:55.408 | DEBUG    | src.scraper:scrape_product:51 - Scraped product info: {'product_name': 'COLGATE 125ML TOOTHPASTE TRIPLE ACTION MINT', 'pricecheck_sku': 'TOCOL786', 'barcode': '6281001112013', 'case_barcode': '6281001610663', 'inner_quantity': '12', 'case_quantity': '48', 'pallet_case_quantity': '54', 'cases_per_layer': '9', 'languages': 'EN, AR, FR', 'country_of_origin': 'China', 'tariff_code': '33061000', 'expiry_date': 'Sep 16, 2026', 'vat': '20%', 'piece_price_(excl._vat)': 'Please login for prices'}
2024-08-09 21:12:55.408 | INFO     | src.scraper:scrape_product:26 - Scraping product page: https://pricecheck.uk.com/products/pantene-pro-v-400ml-cond-lift-n-volum-topan626
2024-08-09 21:12:57.779 | DEBUG    | src.scraper:scrape_product:51 - Scraped product info: {'product_name': "PANTENE PRO V 400ML CONDITIONER LIFT 'N' VOLUME", 'pricecheck_sku': 'TOPAN626', 'barcode': '8006540635728', 'case_barcode': '8006540635735', 'inner_quantity': '1', 'case_quantity': '6', 'pallet_case_quantity': '280', 'cases_per_layer': '56', 'languages': 'EN', 'country_of_origin': 'France', 'tariff_code': '33059000', 'vat': '20%', 'piece_price_(excl._vat)': 'Please login for prices'}
2024-08-09 21:12:57.779 | INFO     | src.scraper:scrape_product:26 - Scraping product page: https://pricecheck.uk.com/products/domestos-55g-power-block-rose-tea-tree-hodom103
