[2024-08-09 21:12:07,609][WDM][INFO] - ====== WebDriver manager ======
[2024-08-09 21:12:08,345][WDM][INFO] - Get LATEST chromedriver version for google-chrome
[2024-08-09 21:12:08,517][WDM][INFO] - Get LATEST chromedriver version for google-chrome
[2024-08-09 21:12:08,629][WDM][INFO] - Get LATEST chromedriver version for google-chrome
[2024-08-09 21:12:08,957][WDM][INFO] - WebDriver version 127.0.6533.99 selected
[2024-08-09 21:12:08,957][WDM][INFO] - Modern chrome version https://storage.googleapis.com/chrome-for-testing-public/127.0.6533.99/win32/chromedriver-win32.zip
[2024-08-09 21:12:08,957][WDM][INFO] - About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/127.0.6533.99/win32/chromedriver-win32.zip
[2024-08-09 21:12:09,048][WDM][INFO] - Driver downloading response is 200
[2024-08-09 21:12:09,538][WDM][INFO] - Get LATEST chromedriver version for google-chrome
[2024-08-09 21:12:09,719][WDM][INFO] - Driver has been saved in cache [C:\Users\naren\.wdm\drivers\chromedriver\win64\127.0.6533.99]
