Product Name,Other,Barcode,Case Barcode,Inner Quantity,Case Quantity,Pallet Case Quantity,Cases Per Layer,Languages,Country Of Origin,Tariff Code,VAT,Pricecheck SKU,Piece Price (Excl. VAT),Image URL
2025 SLIM DIARY (3 ASSORTED PASTEL COLOURS) 85 X 160 X 10MM,VAT:,5012128604621,5024004010969,20,40,108,18,EN,China,48201050,20%,FASTA016,Please login for prices,
2025 SLIM WEEK TO VIEW PADDED DIARY WITH PEN (3 ASSORTED COLOURS) 90 X 160 X 20MM,VAT:,5012128605031,5024004013724,20,40,60,10,EN,China,48201050,20%,FASTA017,Please login for prices,"https://res.cloudinary.com/pricecheck/image/upload/c_lpad,dpr_2.0,f_auto,h_700,q_auto,w_700/v1/FASTA017-2.jpg?_i=AB"
