[2024-08-08 07:39:05,425][WDM][INFO] - ====== WebDriver manager ======
[2024-08-08 07:39:06,213][WDM][INFO] - Get LATEST chromedriver version for google-chrome
[2024-08-08 07:39:06,346][WDM][INFO] - Get LATEST chromedriver version for google-chrome
[2024-08-08 07:39:06,446][WDM][INFO] - Get LATEST chromedriver version for google-chrome
[2024-08-08 07:39:06,692][WDM][INFO] - WebDriver version 127.0.6533.99 selected
[2024-08-08 07:39:06,698][WDM][INFO] - Modern chrome version https://storage.googleapis.com/chrome-for-testing-public/127.0.6533.99/win32/chromedriver-win32.zip
[2024-08-08 07:39:06,698][WDM][INFO] - About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/127.0.6533.99/win32/chromedriver-win32.zip
[2024-08-08 07:39:06,766][WDM][INFO] - Driver downloading response is 200
[2024-08-08 07:39:07,030][WDM][INFO] - Get LATEST chromedriver version for google-chrome
[2024-08-08 07:39:07,220][WDM][INFO] - Driver has been saved in cache [C:\Users\naren\.wdm\drivers\chromedriver\win64\127.0.6533.99]
