2024-08-14 18:35:23.743 | DEBUG    | src.scraper:scrape_product:51 - Scraped product info: {'product_name': 'COLGATE 100ML TOOTHPASTE MAX FRESH CLEAN MINT', 'pricecheck_sku': 'TOCOL730', 'barcode': '8718951288881', 'case_barcode': '08718951288874', 'inner_quantity': '12', 'case_quantity': '72', 'pallet_case_quantity': '42', 'cases_per_layer': '6', 'languages': 'EN, AR, FR', 'country_of_origin': 'India', 'tariff_code': '33061000', 'expiry_date': 'Sep 15, 2026', 'vat': '20%', 'piece_price_(excl._vat)': 'Please login for prices'}
2024-08-14 18:35:23.743 | INFO     | src.scraper:scrape_product:26 - Scraping product page: https://pricecheck.uk.com/products/nescafe-gold-cappuccino-8pk-pmp-fones115
2024-08-14 18:35:25.652 | DEBUG    | src.scraper:scrape_product:51 - Scraped product info: {'product_name': 'NESCAFE GOLD INSTANT COFFEE SACHETS CAPPUCCINO 8 PACK PMP £2.79', 'pricecheck_sku': 'FONES115', 'barcode': '8445290721600', 'case_barcode': '8445290721594', 'inner_quantity': '1', 'case_quantity': '6', 'pallet_case_quantity': '196', 'cases_per_layer': '28', 'languages': 'EN', 'country_of_origin': 'United Kingdom', 'tariff_code': '21011100', 'expiry_date': 'Apr 30, 2025', 'vat': '0%', 'piece_price_(excl._vat)': 'Please login for prices'}
2024-08-14 18:35:25.652 | INFO     | src.scraper:scrape_product:26 - Scraping product page: https://pricecheck.uk.com/products/colgate-125ml-t-p-triple-mint-tocol786
2024-08-14 18:35:27.788 | DEBUG    | src.scraper:scrape_product:51 - Scraped product info: {'product_name': 'COLGATE 125ML TOOTHPASTE TRIPLE ACTION MINT', 'pricecheck_sku': 'TOCOL786', 'barcode': '6281001112013', 'case_barcode': '6281001610663', 'inner_quantity': '12', 'case_quantity': '48', 'pallet_case_quantity': '54', 'cases_per_layer': '9', 'languages': 'EN, AR, FR', 'country_of_origin': 'China', 'tariff_code': '33061000', 'expiry_date': 'Sep 16, 2026', 'vat': '20%', 'piece_price_(excl._vat)': 'Please login for prices'}
2024-08-14 18:35:27.788 | INFO     | src.scraper:scrape_product:26 - Scraping product page: https://pricecheck.uk.com/products/aussie-300ml-s-poo-nourish-toaus339
2024-08-14 18:35:29.622 | DEBUG    | src.scraper:scrape_product:51 - Scraped product info: {'product_name': 'AUSSIE 300ML SHAMPOO NOURISH', 'pricecheck_sku': 'TOAUS339', 'barcode': '8001841432380', 'case_barcode': '8001841432397', 'inner_quantity': '1', 'case_quantity': '6', 'pallet_case_quantity': '343', 'cases_per_layer': '49', 'languages': 'EN, FR', 'country_of_origin': 'France', 'tariff_code': '33051000', 'vat': '20%', 'piece_price_(excl._vat)': 'Please login for prices'}
2024-08-14 18:35:29.622 | INFO     | src.scraper:scrape_product:26 - Scraping product page: https://pricecheck.uk.com/products/aussie-300ml-s-poo-miracle-repair-toaus341
2024-08-14 18:35:31.647 | DEBUG    | src.scraper:scrape_product:51 - Scraped product info: {'product_name': 'AUSSIE 300ML SHAMPOO MIRACLE REPAIR', 'pricecheck_sku': 'TOAUS341', 'barcode': '8001841429595', 'case_barcode': '8001841429601', 'inner_quantity': '1', 'case_quantity': '6', 'pallet_case_quantity': '196', 'cases_per_layer': '49', 'languages': 'FR', 'country_of_origin': 'France', 'tariff_code': '33051000', 'vat': '20%', 'piece_price_(excl._vat)': 'Please login for prices'}
2024-08-14 18:35:31.647 | INFO     | src.scraper:scrape_product:26 - Scraping product page: https://pricecheck.uk.com/products/gillette-venus-smooth-razor-2up-togve215
