product_name,pricecheck_sku,barcode,case_barcode,inner_quantity,case_quantity,pallet_case_quantity,cases_per_layer,languages,country_of_origin,tariff_code,expiry_date,vat,piece_price
FAIRY NON BIO 1.225L WASHING LIQUID 35W,HOFAI321,8006540946794,08006540946817,1,4,75,25,EN,United Kingdom,34025090,"Sep 13, 2025",20.0,Please login for prices
BELUX 600ML SHOWER GEL CHERRY BLOSSOM,TOBEL038,8692730510014,8692730510014,1,12,108,18,"EN, AR, BG, DE, GR, ES, FR, HU, RU",Turkey,34013000,"Jun 28, 2027",20.0,Please login for prices
ORAL-B PRO-EXPERT 125ML TOOTHPASTE DEEP CLEAN,TOORA489,8001090565686,8001090566256,1,12,252,42,"EN, DK, FI, NO, SE",Germany,33061000,"Oct 30, 2025",20.0,Please login for prices
SACHAJUAN 50ML INTENSE HAIR OIL,TOSAC018,7350016332828,1735,1,6,720,72,"EN, DK, DE, ES, FI, FR, IT, NO, SE",Sweden,33059000,,20.0,Please login for prices
SACHAJUAN 125ML STYLING CREAM,TOSAC020,7350016331685,17350016331682,1,6,6,6,"EN, DK, DE, ES, FI, FR, IT, NO, SE",Sweden,33059000,,20.0,Please login for prices
SAUCESOME! 500ML SWEET CHILLI SAUCE,FOSAU001,5060222787887,5060222787931,1,6,234,39,EN,United Kingdom,21039090,"Jul 26, 2025",0.0,Please login for prices
SAUCESOME! 500ML GARLIC MAYO,FOSAU004,5060222784978,5060222787948,1,6,234,39,EN,United Kingdom,21039090,"Aug 3, 2025",0.0,Please login for prices
SAUCESOME! 500ML BROWN SAUCE,FOSAU005,5060222788181,5060222788198,1,6,234,39,EN,United Kingdom,21039090,"Jul 30, 2025",0.0,Please login for prices
ARIEL 1.785L WASHING LIQUID COLOUR XL MEGA PACK 51W,HOARI241,8006540898499,08006540898505,1,3,100,25,EN,United Kingdom,34025090,"Sep 16, 2025",20.0,Please login for prices
BLOO 2X50G TOILET CISTERN CUBE FLOWERS,HOBLO032,5000325053984,5000325053991,1,7,252,36,EN,Poland,34023100,,20.0,Please login for prices
BLOO 4X50G TOILET CISTERN CUBE ORIGINAL BLUE,HOBLO036,5000325053229,05000325053236,1,7,252,36,EN,Poland,34023100,,20.0,Please login for prices
NIVEA 400ML BODY CREAM INTENSIVE MOISTURISING,TONIV455,4005808780563,26001051000351,6,12,112,16,EN,Poland,33049900,"May 31, 2026",20.0,Please login for prices
ORAL-B STAR WARS JUNIOR TOOTHBRUSH SOFT 6-12 YEARS,TOORA490,3014260099114,03014260099138,12,96,55,11,"EN, DK, FI, IL, NO, SE",Ireland,96032100,,20.0,Please login for prices
OLE HENRIKSEN TRUTH 30ML BANANA BRIGHT SERUM,COSOLE002,840026641609,,1,104,25,5,"EN, SI, BG, DK, DE, GR, FI, FR, HR, IT, NL, NO, PL, RO",United States,33049900,,20.0,Please login for prices
ORIGIN GINZING 15ML EYE CREAM REFRESHING,COSORI014,717334254954,14004763603791,3,90,112,16,"EN, DK, DE, GR, IT, NL, PT, RO, SE",United States,33049900,,20.0,Please login for prices
PIXI 80ML HYDRATING MILKY MIST,COSPIX007,885190820023,,1,22,168,28,"EN, FR",,33049900,,20.0,Please login for prices
PIXI GLOW 30ML SERUM EXFOLIATING RADIANCE,COSPIX017,885190823055,,1,12,168,28,"EN, FR",United States,33049900,,20.0,Please login for prices
PIXI VITAMIN C 80ML ENERGIZING FACIAL WATER,COSPIX035,885190820030,,1,10,168,28,"EN, FR",South Korea,33049900,,20.0,Please login for prices
GILLETTE VENUS SMOOTH RAZOR 2UP,TOGVE215,8001090585752,8001090585684,1,6,170,34,"EN, AT, CH, DE, ES, FI, FR, IT, NO, PT, SE",Germany,82122000,,20.0,Please login for prices
SNACK A JACKS 5X19G SOUR CREAM & CHIVE 5 PACK,FOSNA001,5000328250762,500032850779,1,6,60,12,EN,United Kingdom,19059055,"Apr 5, 2025",20.0,Please login for prices
CHRISTMAS GIFT BAGS BOTTLE SANTA TEXT,FACHR059,5012213544429,5012213546508,6,48,84,12,EN,China,48194000,,20.0,Please login for prices
CHRISTMAS GIFT BAGS SANTA TEXT MEDIUM,FACHR061,5012213544450,05012213546539,6,48,90,15,EN,China,48194000,,20.0,Please login for prices
CHRISTMAS GIFT BAG SNOWMAN LARGE,FACHR074,5012213567930,5012213568432,6,48,80,10,EN,China,48194000,,20.0,Please login for prices
PERSIL 1.62L WASHING LIQUID COLOUR 60 WASH,HOPER138,8702181227097,08720181227141,1,4,80,20,EN,United Kingdom,34025090,,20.0,Please login for prices
