product_name,pricecheck_sku,barcode,case_barcode,inner_quantity,case_quantity,pallet_case_quantity,cases_per_layer,languages,country_of_origin,tariff_code,expiry_date,vat,piece_price
CACHAREL YES I AM 50ML EDP SPRAY FABULOUS,FLCAC016,3614272916173,01400476360379,1,67,20,4,"EN, DE, ES, FR, IT, NL, PT",France,33030090,,20.0,Please login for prices
WRIGLEYS EXTRA WHITE BUBBLEMINT 46'S PMP £2.25,FOWRI025,4009900545020,4009900545181,6,144,12,6,EN,United Kingdom,17041010,"Sep 17, 2025",20.0,Please login for prices
HERMES UN JARDIN SUR LE NIL 2PC GIFT SET (125ML EDP REFILL & 30ML EDP SPRAY),GSFLHER005,3346130419945,3346130419945,1,12,90,15,"EN, FR",France,33030090,,20.0,Please login for prices
"MICKEY & FRIENDS 3PC GIFT SET (50ML EDT SPRAY, 100ML SHOWER GEL & BAG)",GSKIMIC102,8411114087535,18411114087532,1,6,63,9,"EN, AR, DK, DE, GR, ES, FI, FR, IT, NL, NO, PL, PT, SE",Spain,33030090,,20.0,Please login for prices
BELUX 600ML SHOWER GEL ROSE,TOBEL036,8692730510984,8692730510984,1,12,108,18,"EN, AR, BG, DE, GR, ES, FR, HU, IT, NL, RU, TR",Turkey,34013000,"Jun 11, 2027",20.0,Please login for prices
BELUX 600ML 2 IN 1 SHAMPOO FOR MEN BLACK,TOBEL044,8692730510267,18692730512619,1,12,108,18,"EN, AL, AR, AZ, BG, BA, DE, GR, ES, FR, HR, HU, KZ, LT, LV, MK, NL, PL, PT, RO, RU, SR, SE, TR, UA",Turkey,34013000,"Jul 4, 2027",20.0,Please login for prices
BELUX 600ML 2 IN 1 SHAMPOO FOR WOMEN PINK,TOBEL045,8692730511349,8692730513794,1,12,108,18,"EN, AL, AR, AZ, BG, DE, ES, FR, HR, HU, LT, MK, NL, PL, PT, RO, RU, SE, TR",Turkey,34013000,"Jul 3, 2027",20.0,Please login for prices
BELUX 600ML SHAMPOO REVITALISING,TOBEL047,8692730513756,18692730512312,1,12,108,18,"EN, AL, AR, AZ, BG, DE, GR, ES, FR, HR, HU, IT, KZ, LT, LV, MK, NL, PL, PT, RO, RU, SR, SE, TR, UA",Turkey,33051000,"Jun 26, 2027",20.0,Please login for prices
SACHAJUAN 250ML SHAMPOO THICKENING,TOSAC011,7350016332040,17350016332047,1,6,252,36,"EN, DK, ES, FI, FR, IT, NO, SE",Sweden,33051000,,20.0,Please login for prices
SACHAJUAN 250ML SHAMPOO MOISTURIZING,TOSAC013,7350016332118,17350016332115,1,6,294,42,"EN, DK, DE, ES, FI, FR, IT, NO, SE",Sweden,33051000,,20.0,Please login for prices
SACHAJUAN 150ML OCEAN MIST STYLING,TOSAC019,7350016331128,17350016331125,1,6,343,49,"EN, DK, DE, ES, FI, FR, IT, NO, SE",Sweden,33059000,,20.0,Please login for prices
HEINZ 1KG TOMATO KETCHUP (EN LABEL),FOHEI289,8715700116631,15060564750263,1,8,80,16,"EN, AT, CH, DE, FR",Denmark,21032000,"Jul 1, 2025",0.0,Please login for prices
SAUCESOME! 500ML SMOOTH & CREAMY MAYONNAISE,FOSAU002,5060222787610,5060222787832,1,6,234,39,EN,United Kingdom,21039090,"Jul 20, 2025",0.0,Please login for prices
SAUCESOME! 500ML SALAD CREAM,FOSAU003,5060222785227,5060222787825,1,6,234,39,EN,United Kingdom,21039090,"Jul 8, 2025",0.0,Please login for prices
ARIEL ALL IN 1 PODS ORIGINAL 25'S,HOARI240,8006540899342,08006540899359,1,4,384,48,EN,United Kingdom,34025090,"Sep 16, 2025",20.0,Please login for prices
BLOO 2X50G TOILET CISTERN CUBE LEMON,HOBLO033,5000325054011,05000325054028,1,7,252,36,EN,Poland,34023100,,20.0,Please login for prices
BLOO 2X50G TOILET CISTERN CUBE ORIGINAL BLUE,HOBLO035,5000325052956,05000325052963,1,7,252,36,EN,Poland,34023100,,20.0,Please login for prices
BLOO 4X50G TOILET CISTERN CUBE CITRUS,HOBLO037,5000325053953,5000325053953,1,7,252,36,EN,Poland,34023100,,20.0,Please login for prices
SCHWARZKOPF BONACURE 200ML CONDITIONER JELLY VOLUME BOOST,TOSCH1131,4045787728774,4045787728798,3,12,120,20,"EN, DK, ES, FI, FR, NO, PT, SE",Germany,33059000,,20.0,Please login for prices
SCHWARZKOPF BONACURE 200ML CONDITIONER SPRAY COLOR FREEZE,TOSCH1132,4045787724271,4045787724295,3,12,48,24,"EN, DK, ES, FI, FR, PT",Hungary,33059000,,20.0,Please login for prices
SCHWARZKOPF BONACURE 200ML CONDITIONER SPRAY MOISTURE KICK,TOSCH1133,4045787727036,4045787727050,3,12,144,24,"EN, DK, ES, FI, FR, PT, SE",Hungary,33059000,,20.0,Please login for prices
SCHWARZKOPF BONACURE 200ML CONDITIONER SPRAY REPAIR RESCUE,TOSCH1134,4045787723052,4045787723076,3,12,144,24,"EN, DK, ES, FI, FR, PT",Hungary,33059000,,20.0,Please login for prices
